"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4471","home page title test","chromium","2026-06-03","passed","2026-06-03","","homepage.spec.ts","",""
"","2674","user is able to login to app test","chromium","2026-06-03","passed","2026-06-03","","loginpage.spec.ts","",""
"","4651","home page title test","chromium","2026-06-03","passed","2026-06-03","","homepagefix.spec.ts","",""
"","1990","login page title test","chromium","2026-06-03","passed","2026-06-03","","loginpage.spec.ts","",""
"","5044","logout link exists test","chromium","2026-06-03","passed","2026-06-03","","homepage.spec.ts","",""
"","2504","user is able to login to app test","chromium","2026-06-03","failed","2026-06-03","","loginpagefix.spec.ts","",""
"","1915","forgotpassword link exists test","chromium","2026-06-03","passed","2026-06-03","","loginpagefix.spec.ts","",""
"","5008","home page headers exists test","chromium","2026-06-03","passed","2026-06-03","","homepage.spec.ts","",""
"","4936","home page headers exists test","chromium","2026-06-03","passed","2026-06-03","","homepagefix.spec.ts","",""
"","5247","logout link exists test","chromium","2026-06-03","passed","2026-06-03","","homepagefix.spec.ts","",""
"","2068","login page title test","chromium","2026-06-03","passed","2026-06-03","","loginpagefix.spec.ts","",""
"","1620","forgotpassword link exists test","chromium","2026-06-03","passed","2026-06-03","","loginpage.spec.ts","",""
