"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3541","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","409","@regression DELETE API -- Delete a user","chromium","2026-06-30","passed","2026-06-30","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-06-30","skipped","2026-06-30","","loginpage.spec.ts","",""
"","3233","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2362","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","0","Delete a user test","chromium","2026-06-30","skipped","2026-06-30","","api/users.api.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-30","skipped","2026-06-30","","loginpagefix.spec.ts","",""
"","2695","@smoke home page title test","chromium","2026-06-30","failed","2026-06-30","","homepagefix.spec.ts","",""
"","398","@regression POST API -- create a user","chromium","2026-06-30","passed","2026-06-30","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2469","@smoke user is able to login to app test","chromium","2026-06-30","failed","2026-06-30","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-30","skipped","2026-06-30","","search.spec.ts","",""
"","1","create a user test","chromium","2026-06-30","skipped","2026-06-30","","api/users.api.spec.ts","",""
"","3743","@regression verify product images count","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-06-30","skipped","2026-06-30","","search.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-30","skipped","2026-06-30","","loginpage.spec.ts","",""
"","3595","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
